,roll,pitch,yaw,throttle,elapsed,timestamp
4969,1500,1500,1500,885,0.015,1681843777.09
4970,1500,1500,1500,885,0.015,1681843777.17
4971,1500,1500,1500,885,0.015,1681843777.25
4972,1500,1500,1500,885,0.015,1681843777.33
4973,1500,1500,1500,885,0.015,1681843777.41
4974,1500,1500,1500,885,0.015,1681843777.49
4975,1500,1500,1500,885,0.015,1681843777.57
4976,1500,1500,1500,885,0.015,1681843777.65
4977,1500,1500,1500,885,0.015,1681843777.73
4978,1500,1500,1500,885,0.015,1681843777.81
4979,1500,1500,1500,885,0.015,1681843777.89
4980,1500,1500,1500,885,0.015,1681843777.97
4981,1500,1500,1500,885,0.015,1681843778.05
4982,1500,1500,1500,885,0.015,1681843778.13
4983,1500,1500,1500,885,0.015,1681843778.21
4984,1500,1500,1500,885,0.015,1681843778.29
4985,,,,,,
4986,1500,1500,1500,885,0.015,1681843778.43
4987,1500,1500,1500,885,0.015,1681843778.51
4988,1500,1500,1500,885,0.015,1681843778.59
4989,1500,1500,1500,885,0.015,1681843778.67
4990,1500,1500,1500,885,0.015,1681843778.75
4991,1500,1500,1500,885,0.015,1681843778.83
4992,1500,1500,1500,885,0.015,1681843778.91
4993,1500,1500,1500,885,0.015,1681843778.99
4994,1500,1500,1500,885,0.015,1681843779.07
4995,1500,1500,1500,885,0.015,1681843779.15
4996,1500,1500,1500,885,0.015,1681843779.23
4997,1500,1500,1500,885,0.015,1681843779.31
4998,1500,1500,1500,885,0.015,1681843779.39
4999,1500,1500,1500,885,0.015,1681843779.47
5000,1500,1500,1500,885,0.015,1681843779.55
5001,1500,1500,1500,885,0.015,1681843779.63
5002,1500,1500,1500,885,0.015,1681843779.71
5003,1500,1500,1500,885,0.015,1681843779.79
5004,,,,,,
5005,1500,1500,1500,885,0.015,1681843779.93
5006,1500,1500,1500,885,0.015,1681843780.01
5007,1500,1500,1500,885,0.015,1681843780.09
5008,1500,1500,1500,885,0.015,1681843780.17
5009,1500,1500,1500,885,0.015,1681843780.25
5010,1500,1500,1500,885,0.015,1681843780.33
5011,1500,1500,1500,885,0.015,1681843780.41
5012,1500,1500,1500,885,0.015,1681843780.49
5013,1500,1500,1500,885,0.015,1681843780.57
5014,1500,1500,1500,885,0.015,1681843780.65
5015,1500,1500,1500,885,0.015,1681843780.73
5016,1500,1500,1500,885,0.015,1681843780.81
5017,1500,1500,1500,885,0.015,1681843780.89
5018,1500,1500,1500,885,0.015,1681843780.97
5019,1500,1500,1500,885,0.015,1681843781.05
5020,1500,1500,1500,885,0.015,1681843781.13
5021,1500,1500,1500,885,0.015,1681843781.21
5022,1500,1500,1500,885,0.015,1681843781.29
5023,,,,,,
5024,,,,,,
5025,,,,,,
5026,,,,,,
5027,1500,1500,1500,885,0.015,1681843781.44
5028,,,,,,
5029,-64,67,-531,7,0.015,1681843781.60
5030,,,,,,
5031,,,,,,
5032,1500,1500,1500,885,0.015,1681843781.84
5033,1500,1500,1500,885,0.015,1681843781.92
5034,1500,1500,1500,885,0.015,1681843782.00
5035,1500,1500,1500,885,0.015,1681843782.08
5036,1500,1500,1500,885,0.015,1681843782.16
5037,1500,1500,1500,885,0.015,1681843782.24
5038,1500,1500,1500,885,0.015,1681843782.32
5039,1500,1500,1500,885,0.015,1681843782.40
5040,1500,1500,1500,885,0.015,1681843782.48
5041,1500,1500,1500,885,0.015,1681843782.56
5042,,,,,,
5043,,,,,,
5044,,,,,,
5045,1500,1500,1500,885,0.015,1681843782.70
5046,,,,,,
5047,-65,66,-532,8,0.015,1681843782.86
5048,,,,,,
5049,1500,1500,1500,885,0.015,1681843783.02
5050,1500,1500,1500,885,0.015,1681843783.10
5051,1500,1500,1500,885,0.015,1681843783.18
5052,1500,1500,1500,885,0.015,1681843783.26
5053,1500,1500,1500,885,0.015,1681843783.34
5054,1500,1500,1500,885,0.015,1681843783.42
5055,1500,1500,1500,885,0.015,1681843783.50
5056,1500,1500,1500,885,0.015,1681843783.58
5057,1500,1500,1500,885,0.015,1681843783.66
5058,1500,1500,1500,885,0.015,1681843783.74
5059,1500,1500,1500,885,0.015,1681843783.82
5060,1500,1500,1500,885,0.015,1681843783.90
5061,,,,,,
5062,,,,,,
5063,,,,,,
5064,1500,1500,1500,885,0.015,1681843784.17
5065,1500,1500,1500,885,0.015,1681843784.25
5066,1500,1500,1500,885,0.015,1681843784.33
5067,1500,1500,1500,885,0.015,1681843784.41
5068,1500,1500,1500,885,0.015,1681843784.49
5069,1500,1500,1500,885,0.015,1681843784.57
5070,1500,1500,1500,885,0.015,1681843784.65
5071,1500,1500,1500,885,0.016,1681843784.73
5072,1500,1500,1500,885,0.016,1681843784.81
5073,1500,1500,1500,885,0.016,1681843784.89
5074,1500,1500,1500,885,0.015,1681843784.97
5075,1500,1500,1500,885,0.015,1681843785.05
5076,1500,1500,1500,885,0.015,1681843785.13
5077,1500,1500,1500,885,0.016,1681843785.21
5078,1500,1500,1500,885,0.016,1681843785.29
5079,1500,1500,1500,885,0.015,1681843785.37
5080,1500,1500,1500,885,0.015,1681843785.45
5081,,,,,,
5082,,,,,,
5083,1500,1500,1500,885,0.016,1681843785.63
5084,1500,1500,1500,885,0.015,1681843785.71
5085,1500,1500,1500,885,0.015,1681843785.79
5086,1500,1500,1500,885,0.015,1681843785.87
5087,1500,1500,1500,885,0.015,1681843785.95
5088,1500,1500,1500,885,0.015,1681843786.03
5089,1500,1500,1500,885,0.015,1681843786.11
5090,1500,1500,1500,885,0.015,1681843786.19
5091,1500,1500,1500,885,0.015,1681843786.27
5092,1500,1500,1500,885,0.015,1681843786.35
5093,1500,1500,1500,885,0.015,1681843786.43
5094,1500,1500,1500,885,0.016,1681843786.51
5095,1500,1500,1500,885,0.016,1681843786.59
5096,1500,1500,1500,885,0.016,1681843786.67
5097,1500,1500,1500,885,0.016,1681843786.75
5098,1500,1500,1500,885,0.016,1681843786.83
5099,1500,1500,1500,885,0.016,1681843786.91
5100,1500,1500,1500,885,0.015,1681843786.99
5101,1500,1500,1500,885,0.015,1681843787.07
5102,1500,1500,1500,885,0.015,1681843787.15
5103,1500,1500,1500,885,0.015,1681843787.23
5104,1500,1500,1500,885,0.015,1681843787.31
5105,1500,1500,1500,885,0.015,1681843787.39
5106,1500,1500,1500,885,0.015,1681843787.47
5107,1500,1500,1500,885,0.015,1681843787.55
5108,1500,1500,1500,885,0.015,1681843787.63
5109,1500,1500,1500,885,0.015,1681843787.71
5110,1500,1500,1500,885,0.015,1681843787.79
5111,1500,1500,1500,885,0.015,1681843787.87
5112,1500,1500,1500,885,0.015,1681843787.95
5113,1500,1500,1500,885,0.015,1681843788.03
5114,1500,1500,1500,885,0.015,1681843788.11
5115,1500,1500,1500,885,0.015,1681843788.19
5116,1500,1500,1500,885,0.015,1681843788.27
5117,1500,1500,1500,885,0.015,1681843788.35
5118,1500,1500,1500,885,0.015,1681843788.43
5119,,,,,,
5120,1500,1500,1500,885,0.015,1681843788.57
5121,1500,1500,1500,885,0.015,1681843788.65
5122,1500,1500,1500,885,0.015,1681843788.73
5123,1500,1500,1500,885,0.015,1681843788.81
5124,1500,1500,1500,885,0.015,1681843788.89
5125,1500,1500,1500,885,0.015,1681843788.97
5126,1500,1500,1500,885,0.015,1681843789.05
5127,1500,1500,1500,885,0.015,1681843789.13
5128,1500,1500,1500,885,0.015,1681843789.21
5129,1500,1500,1500,885,0.015,1681843789.29
5130,1500,1500,1500,885,0.016,1681843789.37
5131,1500,1500,1500,885,0.016,1681843789.45
5132,1500,1500,1500,885,0.016,1681843789.53
5133,1500,1500,1500,885,0.016,1681843789.61
5134,1500,1500,1500,885,0.016,1681843789.69
5135,1500,1500,1500,885,0.016,1681843789.77
5136,1500,1500,1500,885,0.016,1681843789.85
5137,1500,1500,1500,885,0.016,1681843789.93
5138,,,,,,
5139,1500,1500,1500,885,0.015,1681843790.08
5140,1500,1500,1500,885,0.015,1681843790.16
5141,1500,1500,1500,885,0.015,1681843790.24
5142,1500,1500,1500,885,0.015,1681843790.32
5143,1500,1500,1500,885,0.015,1681843790.40
5144,1500,1500,1500,885,0.015,1681843790.48
5145,1500,1500,1500,885,0.015,1681843790.56
5146,1500,1500,1500,885,0.015,1681843790.64
5147,1500,1500,1500,885,0.015,1681843790.72
5148,1500,1500,1500,885,0.015,1681843790.80
5149,1500,1500,1500,885,0.015,1681843790.88
5150,1500,1500,1500,885,0.015,1681843790.96
5151,1500,1500,1500,885,0.016,1681843791.04
5152,1500,1500,1500,885,0.016,1681843791.12
5153,1500,1500,1500,885,0.016,1681843791.20
5154,1500,1500,1500,885,0.016,1681843791.28
5155,1500,1500,1500,885,0.015,1681843791.36
5156,1500,1500,1500,885,0.015,1681843791.44
5157,1500,1500,1500,885,0.015,1681843791.52
5158,1500,1500,1500,885,0.015,1681843791.60
5159,1500,1500,1500,885,0.015,1681843791.68
5160,1500,1500,1500,885,0.015,1681843791.76
5161,1500,1500,1500,885,0.015,1681843791.84
5162,1500,1500,1500,885,0.015,1681843791.92
5163,1500,1500,1500,885,0.016,1681843792.00
5164,1500,1500,1500,885,0.016,1681843792.08
5165,1500,1500,1500,885,0.016,1681843792.16
5166,1500,1500,1500,885,0.016,1681843792.24
5167,1500,1500,1500,885,0.016,1681843792.32
5168,1500,1500,1500,885,0.016,1681843792.40
5169,1500,1500,1500,885,0.016,1681843792.48
5170,1500,1500,1500,885,0.016,1681843792.56
5171,1500,1500,1500,885,0.016,1681843792.64
5172,1500,1500,1500,885,0.016,1681843792.72
5173,1500,1500,1500,885,0.016,1681843792.80
5174,1500,1500,1500,885,0.015,1681843792.88
5175,1500,1500,1500,885,0.015,1681843792.96
5176,,,,,,
5177,,,,,,
5178,,,,,,
5179,,,,,,
5180,-130,-238,-450,71,0.015,1681843793.17
5181,,,,,,
5182,,,,,,
5183,1500,1500,1500,885,0.015,1681843793.41
5184,1500,1500,1500,885,0.015,1681843793.49
5185,1500,1500,1500,885,0.015,1681843793.57
5186,1500,1500,1500,885,0.015,1681843793.65
5187,1500,1500,1500,885,0.015,1681843793.73
5188,1500,1500,1500,885,0.015,1681843793.81
5189,1500,1500,1500,885,0.016,1681843793.89
5190,1500,1500,1500,885,0.016,1681843793.97
5191,1500,1500,1500,885,0.016,1681843794.05
5192,1500,1500,1500,885,0.016,1681843794.13
5193,1500,1500,1500,885,0.015,1681843794.21
5194,1500,1500,1500,885,0.015,1681843794.29
5195,,,,,,
5196,27,-178,-606,399,0.0,1681843794.39
5197,,,,,,
5198,1500,1500,1500,885,0.016,1681843794.54
5199,1500,1500,1500,885,0.016,1681843794.62
5200,1500,1500,1500,885,0.015,1681843794.70
5201,1500,1500,1500,885,0.015,1681843794.78
5202,1500,1500,1500,885,0.015,1681843794.86
5203,1500,1500,1500,885,0.015,1681843794.94
5204,1500,1500,1500,885,0.015,1681843795.02
5205,1500,1500,1500,885,0.015,1681843795.10
5206,1500,1500,1500,885,0.015,1681843795.18
5207,1500,1500,1500,885,0.015,1681843795.26
5208,1500,1500,1500,885,0.015,1681843795.34
5209,1500,1500,1500,885,0.015,1681843795.42
5210,1500,1500,1500,885,0.016,1681843795.50
5211,1500,1500,1500,885,0.016,1681843795.58
5212,1500,1500,1500,885,0.015,1681843795.66
5213,1500,1500,1500,885,0.016,1681843795.74
5214,1500,1500,1500,885,0.016,1681843795.82
5215,,,,,,
5216,,,,,,
5217,1500,1500,1500,885,0.016,1681843796.01
5218,1500,1500,1500,885,0.016,1681843796.09
5219,1500,1500,1500,885,0.015,1681843796.17
5220,1500,1500,1500,885,0.015,1681843796.25
5221,1500,1500,1500,885,0.015,1681843796.33
5222,1500,1500,1500,885,0.015,1681843796.41
5223,1500,1500,1500,885,0.015,1681843796.49
5224,1500,1500,1500,885,0.015,1681843796.57
5225,1500,1500,1500,885,0.015,1681843796.65
5226,1500,1500,1500,885,0.015,1681843796.73
5227,1500,1500,1500,885,0.015,1681843796.81
5228,1500,1500,1500,885,0.015,1681843796.89
5229,1500,1500,1500,885,0.016,1681843796.97
5230,1500,1500,1500,885,0.016,1681843797.05
5231,1500,1500,1500,885,0.016,1681843797.13
5232,1500,1500,1500,885,0.016,1681843797.21
5233,1500,1500,1500,885,0.016,1681843797.29
5234,1500,1500,1500,885,0.015,1681843797.37
5235,1500,1500,1500,885,0.015,1681843797.45
5236,1500,1500,1500,885,0.015,1681843797.53
5237,1500,1500,1500,885,0.015,1681843797.61
5238,1500,1500,1500,885,0.015,1681843797.69
5239,1500,1500,1500,885,0.015,1681843797.77
5240,1500,1500,1500,885,0.015,1681843797.85
5241,1500,1500,1500,885,0.015,1681843797.93
5242,1500,1500,1500,885,0.015,1681843798.01
5243,1500,1500,1500,885,0.016,1681843798.09
5244,1500,1500,1500,885,0.016,1681843798.17
5245,1500,1500,1500,885,0.016,1681843798.25
5246,1500,1500,1500,885,0.016,1681843798.33
5247,1500,1500,1500,885,0.016,1681843798.41
5248,1500,1500,1500,885,0.016,1681843798.49
5249,1500,1500,1500,885,0.016,1681843798.57
5250,1500,1500,1500,885,0.016,1681843798.65
5251,1500,1500,1500,885,0.015,1681843798.73
5252,1500,1500,1500,885,0.015,1681843798.81
5253,,,,,,
5254,1500,1500,1500,885,0.015,1681843798.96
5255,1500,1500,1500,885,0.015,1681843799.04
5256,1500,1500,1500,885,0.015,1681843799.12
5257,1500,1500,1500,885,0.015,1681843799.20
5258,1500,1500,1500,885,0.015,1681843799.28
5259,1500,1500,1500,885,0.016,1681843799.36
5260,1500,1500,1500,885,0.016,1681843799.44
5261,1500,1500,1500,885,0.015,1681843799.52
5262,1500,1500,1500,885,0.015,1681843799.60
5263,1500,1500,1500,885,0.015,1681843799.68
5264,1500,1500,1500,885,0.015,1681843799.76
5265,1500,1500,1500,885,0.015,1681843799.84
5266,1500,1500,1500,885,0.015,1681843799.92
5267,1500,1500,1500,885,0.015,1681843800.00
5268,1500,1500,1500,885,0.015,1681843800.08
5269,1500,1500,1500,885,0.015,1681843800.16
5270,1500,1500,1500,885,0.015,1681843800.24
5271,1500,1500,1500,885,0.015,1681843800.32
5272,,,,,,
5273,,,,,,
5274,1500,1500,1500,885,0.015,1681843800.53
5275,1500,1500,1500,885,0.016,1681843800.61
5276,1500,1500,1500,885,0.016,1681843800.69
5277,1500,1500,1500,885,0.016,1681843800.77
5278,1500,1500,1500,885,0.016,1681843800.85
5279,1500,1500,1500,885,0.015,1681843800.93
5280,1500,1500,1500,885,0.016,1681843801.01
5281,1500,1500,1500,885,0.016,1681843801.09
5282,1500,1500,1500,885,0.016,1681843801.17
5283,1500,1500,1500,885,0.016,1681843801.25
5284,1500,1500,1500,885,0.015,1681843801.33
5285,1500,1500,1500,885,0.015,1681843801.41
5286,1500,1500,1500,885,0.015,1681843801.49
5287,1500,1500,1500,885,0.016,1681843801.57
5288,1500,1500,1500,885,0.016,1681843801.65
5289,1500,1500,1500,885,0.015,1681843801.73
5290,1500,1500,1500,885,0.015,1681843801.80
5291,,,,,,
5292,1500,1500,1500,885,0.015,1681843801.95
5293,1500,1500,1500,885,0.015,1681843802.03
5294,1500,1500,1500,885,0.015,1681843802.11
5295,1500,1500,1500,885,0.015,1681843802.19
5296,1500,1500,1500,885,0.015,1681843802.27
5297,1500,1500,1500,885,0.015,1681843802.35
5298,1500,1500,1500,885,0.015,1681843802.43
5299,1500,1500,1500,885,0.016,1681843802.51
5300,1500,1500,1500,885,0.016,1681843802.59
5301,1500,1500,1500,885,0.016,1681843802.67
5302,1500,1500,1500,885,0.016,1681843802.75
5303,1500,1500,1500,885,0.016,1681843802.83
5304,1500,1500,1500,885,0.016,1681843802.91
5305,1500,1500,1500,885,0.015,1681843802.99
5306,1500,1500,1500,885,0.015,1681843803.07
5307,1500,1500,1500,885,0.015,1681843803.15
5308,1500,1500,1500,885,0.016,1681843803.23
5309,1500,1500,1500,885,0.015,1681843803.31
5310,,,,,,
5311,,,,,,
5312,,,,,,
5313,,,,,,
5314,1500,1500,1500,885,0.016,1681843803.50
5315,,,,,,
5316,26,-41,-473,214,0.016,1681843803.66
5317,,,,,,
5318,1500,1500,1500,885,0.015,1681843803.82
5319,1500,1500,1500,885,0.015,1681843803.90
5320,1500,1500,1500,885,0.015,1681843803.98
5321,1500,1500,1500,885,0.015,1681843804.06
5322,1500,1500,1500,885,0.015,1681843804.14
5323,1500,1500,1500,885,0.015,1681843804.22
5324,1500,1500,1500,885,0.015,1681843804.30
5325,1500,1500,1500,885,0.015,1681843804.38
5326,1500,1500,1500,885,0.015,1681843804.46
5327,1500,1500,1500,885,0.015,1681843804.54
5328,1500,1500,1500,885,0.015,1681843804.62
5329,,,,,,
5330,,,,,,
5331,,,,,,
5332,1500,1500,1500,885,0.015,1681843804.86
5333,1500,1500,1500,885,0.015,1681843804.94
5334,1500,1500,1500,885,0.015,1681843805.02
5335,1500,1500,1500,885,0.015,1681843805.10
5336,1500,1500,1500,885,0.016,1681843805.18
5337,1500,1500,1500,885,0.015,1681843805.26
5338,1500,1500,1500,885,0.016,1681843805.34
5339,1500,1500,1500,885,0.016,1681843805.42
5340,1500,1500,1500,885,0.015,1681843805.50
5341,1500,1500,1500,885,0.015,1681843805.58
5342,1500,1500,1500,885,0.015,1681843805.66
5343,1500,1500,1500,885,0.015,1681843805.74
5344,1500,1500,1500,885,0.015,1681843805.82
5345,1500,1500,1500,885,0.016,1681843805.90
5346,1500,1500,1500,885,0.016,1681843805.98
5347,1500,1500,1500,885,0.016,1681843806.06
5348,1500,1500,1500,885,0.016,1681843806.14
5349,,,,,,
5350,,,,,,
5351,,,,,,
5352,,,,,,
5353,1500,1500,1500,885,0.016,1681843806.41
5354,1500,1500,1500,885,0.015,1681843806.49
5355,1500,1500,1500,885,0.016,1681843806.57
5356,1500,1500,1500,885,0.016,1681843806.65
5357,1500,1500,1500,885,0.016,1681843806.73
5358,1500,1500,1500,885,0.016,1681843806.81
5359,1500,1500,1500,885,0.016,1681843806.89
5360,1500,1500,1500,885,0.016,1681843806.97
5361,1500,1500,1500,885,0.016,1681843807.05
5362,1500,1500,1500,885,0.016,1681843807.13
5363,1500,1500,1500,885,0.016,1681843807.21
5364,1500,1500,1500,885,0.016,1681843807.29
5365,1500,1500,1500,885,0.016,1681843807.37
5366,1500,1500,1500,885,0.015,1681843807.45
5367,1500,1500,1500,885,0.015,1681843807.53
5368,1500,1500,1500,885,0.015,1681843807.61
5369,1500,1500,1500,885,0.015,1681843807.69
5370,1500,1500,1500,885,0.015,1681843807.77
5371,1500,1500,1500,885,0.016,1681843807.85
5372,1500,1500,1500,885,0.016,1681843807.93
5373,1500,1500,1500,885,0.016,1681843808.01
5374,1500,1500,1500,885,0.016,1681843808.09
5375,1500,1500,1500,885,0.015,1681843808.17
5376,1500,1500,1500,885,0.015,1681843808.25
5377,1500,1500,1500,885,0.015,1681843808.33
5378,1500,1500,1500,885,0.015,1681843808.41
5379,1500,1500,1500,885,0.016,1681843808.49
5380,1500,1500,1500,885,0.016,1681843808.57
